DATE,Year,Month,households,subsidies,urban_popln,const_price,new_const_units,income,interest_rate,gdp,unemployment_rate,home_prices
2009-01-01,2009,1.0,117181,,,,,,,,,
2010-01-01,2010,1.0,117538,,,,,,,,,
2011-01-01,2011,1.0,119927,,,,,,,,,
2012-01-01,2012,1.0,121084,,,,,,,,,
2013-01-01,2013,1.0,122459,,,,,,,,,
2014-01-01,2014,1.0,123229,,,,,,,,,
2015-01-01,2015,1.0,124587,,,,,,,,,
2016-01-01,2016,1.0,125819,,,,,,,,,
2017-01-01,2017,1.0,126224,,,,,,,,,
2018-01-01,2018,1.0,127586,,,,,,,,,
2019-01-01,2019,1.0,128579.0,,,,,,,,,
2020-01-01,2020,1.0,128451.0,,,,,,,,,
2021-01-01,2021,1.0,129224.0,,,,,,,,,
2022-01-01,2022,1.0,131202.0,,,,,,,,,
2023-01-01,2023,1.0,131434.0,,,,,,,,,
1960-01-01,1960,1.0,,0.146,,,,,,,,
1961-01-01,1961,1.0,,0.159,,,,,,,,
1962-01-01,1962,1.0,,0.176,,,,,,,,
1963-01-01,1963,1.0,,0.195,,,,,,,,
1964-01-01,1964,1.0,,0.21,,,,,,,,
1965-01-01,1965,1.0,,0.234,,,,,,,,
1966-01-01,1966,1.0,,0.254,,,,,,,,
1967-01-01,1967,1.0,,0.278,,,,,,,,
1968-01-01,1968,1.0,,0.327,,,,,,,,
1969-01-01,1969,1.0,,0.42,,,,,,,,
1970-01-01,1970,1.0,,0.606,,,,,,,,
1971-01-01,1971,1.0,,0.944,,,,,,,,
1972-01-01,1972,1.0,,1.419,,,,,,,,
1973-01-01,1973,1.0,,1.591,,,,,,,,
1974-01-01,1974,1.0,,2.081,,,,,,,,
1975-01-01,1975,1.0,,2.288,,,,,,,,
1976-01-01,1976,1.0,,2.639,,,,,,,,
1977-01-01,1977,1.0,,3.059,,,,,,,,
1978-01-01,1978,1.0,,3.67,,,,,,,,
1979-01-01,1979,1.0,,4.586,,,,,,,,
1980-01-01,1980,1.0,,5.469,,,,,,,,
1981-01-01,1981,1.0,,6.788,,,,,,,,
1982-01-01,1982,1.0,,8.691,,,,,,,,
1983-01-01,1983,1.0,,9.465,,,,,,,,
1984-01-01,1984,1.0,,10.068,,,,,,,,
1985-01-01,1985,1.0,,11.246,,,,,,,,
1986-01-01,1986,1.0,,11.096,,,,,,,,
1987-01-01,1987,1.0,,11.506,,,,,,,,
1988-01-01,1988,1.0,,12.743,,,,,,,,
1989-01-01,1989,1.0,,14.215,,,,,,,,
1990-01-01,1990,1.0,,15.487,,,,,,,,
1991-01-01,1991,1.0,,17.055,,,,,,,,
1992-01-01,1992,1.0,,18.42,,,,,,,,
1993-01-01,1993,1.0,,20.607,,,,,,,,
1994-01-01,1994,1.0,,21.764,,,,,,,,
1995-01-01,1995,1.0,,24.396,,,,,,,,
1996-01-01,1996,1.0,,25.075,,,,,,,,
1997-01-01,1997,1.0,,23.506,,,,,,,,
1998-01-01,1998,1.0,,21.577,,,,,,,,
1999-01-01,1999,1.0,,21.072,,,,,,,,
2000-01-01,2000,1.0,,19.69,,,,,,,,
2001-01-01,2001,1.0,,20.573,,,,,,,,
2002-01-01,2002,1.0,,24.183,,,,,,,,
2003-01-01,2003,1.0,,25.93,,,,,,,,
2004-01-01,2004,1.0,,27.201,,,,,,,,
2005-01-01,2005,1.0,,27.651,,,,,,,,
2006-01-01,2006,1.0,,28.604,,,,,,,,
2007-01-01,2007,1.0,,29.512,,,,,,,,
2008-01-01,2008,1.0,,29.876,,,,,,,,
2009-01-01,2009,1.0,,32.883,,,,,,,,
2010-01-01,2010,1.0,,32.669,,,,,,,,
2011-01-01,2011,1.0,,34.23,,,,,,,,
2012-01-01,2012,1.0,,33.283,,,,,,,,
2013-01-01,2013,1.0,,33.213,,,,,,,,
2014-01-01,2014,1.0,,33.806,,,,,,,,
2015-01-01,2015,1.0,,34.859,,,,,,,,
2016-01-01,2016,1.0,,37.55,,,,,,,,
2017-01-01,2017,1.0,,35.771,,,,,,,,
2018-01-01,2018,1.0,,38.859,,,,,,,,
2019-01-01,2019,1.0,,40.185,,,,,,,,
2020-01-01,2020,1.0,,44.147,,,,,,,,
2021-01-01,2021,1.0,,45.299,,,,,,,,
2022-01-01,2022,1.0,,48.021,,,,,,,,
,1960,,,,69.996,,,,,,,
,1961,,,,70.377,,,,,,,
,1962,,,,70.757,,,,,,,
,1963,,,,71.134,,,,,,,
,1964,,,,71.508,,,,,,,
,1965,,,,71.879,,,,,,,
,1966,,,,72.247,,,,,,,
,1967,,,,72.612,,,,,,,
,1968,,,,72.974,,,,,,,
,1969,,,,73.333,,,,,,,
,1970,,,,73.602,,,,,,,
,1971,,,,73.613,,,,,,,
,1972,,,,73.623,,,,,,,
,1973,,,,73.633,,,,,,,
,1974,,,,73.643,,,,,,,
,1975,,,,73.653,,,,,,,
,1976,,,,73.663,,,,,,,
,1977,,,,73.673,,,,,,,
,1978,,,,73.682,,,,,,,
,1979,,,,73.692,,,,,,,
,1980,,,,73.738,,,,,,,
,1981,,,,73.89,,,,,,,
,1982,,,,74.042,,,,,,,
,1983,,,,74.194,,,,,,,
,1984,,,,74.344,,,,,,,
,1985,,,,74.494,,,,,,,
,1986,,,,74.644,,,,,,,
,1987,,,,74.793,,,,,,,
,1988,,,,74.942,,,,,,,
,1989,,,,75.089,,,,,,,
,1990,,,,75.3,,,,,,,
,1991,,,,75.701,,,,,,,
,1992,,,,76.097,,,,,,,
,1993,,,,76.488,,,,,,,
,1994,,,,76.875,,,,,,,
,1995,,,,77.257,,,,,,,
,1996,,,,77.636,,,,,,,
,1997,,,,78.008,,,,,,,
,1998,,,,78.377,,,,,,,
,1999,,,,78.742,,,,,,,
,2000,,,,79.057,,,,,,,
,2001,,,,79.234,,,,,,,
,2002,,,,79.409,,,,,,,
,2003,,,,79.583,,,,,,,
,2004,,,,79.757,,,,,,,
,2005,,,,79.928,,,,,,,
,2006,,,,80.099,,,,,,,
,2007,,,,80.269,,,,,,,
,2008,,,,80.438,,,,,,,
,2009,,,,80.606,,,,,,,
,2010,,,,80.772,,,,,,,
,2011,,,,80.944,,,,,,,
,2012,,,,81.119,,,,,,,
,2013,,,,81.299,,,,,,,
,2014,,,,81.483,,,,,,,
,2015,,,,81.671,,,,,,,
,2016,,,,81.862,,,,,,,
,2017,,,,82.058,,,,,,,
,2018,,,,82.256,,,,,,,
,2019,,,,82.459,,,,,,,
,2020,,,,82.664,,,,,,,
,2021,,,,82.873,,,,,,,
,2022,,,,83.084,,,,,,,
,,,,,,,,,,,,
1947-01-01,1947,1.0,,,,22.2,,,,,,
1947-02-01,1947,2.0,,,,22.5,,,,,,
1947-03-01,1947,3.0,,,,22.9,,,,,,
1947-04-01,1947,4.0,,,,23.2,,,,,,
1947-05-01,1947,5.0,,,,23.3,,,,,,
1947-06-01,1947,6.0,,,,23.2,,,,,,
1947-07-01,1947,7.0,,,,23.4,,,,,,
1947-08-01,1947,8.0,,,,23.7,,,,,,
1947-09-01,1947,9.0,,,,24.1,,,,,,
1947-10-01,1947,10.0,,,,24.3,,,,,,
1947-11-01,1947,11.0,,,,24.6,,,,,,
1947-12-01,1947,12.0,,,,24.8,,,,,,
1948-01-01,1948,1.0,,,,25.2,,,,,,
1948-02-01,1948,2.0,,,,25.3,,,,,,
1948-03-01,1948,3.0,,,,25.5,,,,,,
1948-04-01,1948,4.0,,,,25.5,,,,,,
1948-05-01,1948,5.0,,,,25.7,,,,,,
1948-06-01,1948,6.0,,,,25.8,,,,,,
1948-07-01,1948,7.0,,,,26.1,,,,,,
1948-08-01,1948,8.0,,,,26.7,,,,,,
1948-09-01,1948,9.0,,,,26.8,,,,,,
1948-10-01,1948,10.0,,,,26.7,,,,,,
1948-11-01,1948,11.0,,,,26.6,,,,,,
1948-12-01,1948,12.0,,,,26.5,,,,,,
1949-01-01,1949,1.0,,,,26.4,,,,,,
1949-02-01,1949,2.0,,,,26.2,,,,,,
1949-03-01,1949,3.0,,,,26.1,,,,,,
1949-04-01,1949,4.0,,,,25.9,,,,,,
1949-05-01,1949,5.0,,,,25.6,,,,,,
1949-06-01,1949,6.0,,,,25.4,,,,,,
1949-07-01,1949,7.0,,,,25.1,,,,,,
1949-08-01,1949,8.0,,,,25.0,,,,,,
1949-09-01,1949,9.0,,,,25.0,,,,,,
1949-10-01,1949,10.0,,,,25.1,,,,,,
1949-11-01,1949,11.0,,,,25.2,,,,,,
1949-12-01,1949,12.0,,,,25.3,,,,,,
1950-01-01,1950,1.0,,,,25.6,,,,,,
1950-02-01,1950,2.0,,,,25.8,,,,,,
1950-03-01,1950,3.0,,,,26.0,,,,,,
1950-04-01,1950,4.0,,,,26.2,,,,,,
1950-05-01,1950,5.0,,,,26.6,,,,,,
1950-06-01,1950,6.0,,,,26.9,,,,,,
1950-07-01,1950,7.0,,,,27.3,,,,,,
1950-08-01,1950,8.0,,,,28.0,,,,,,
1950-09-01,1950,9.0,,,,28.6,,,,,,
1950-10-01,1950,10.0,,,,29.0,,,,,,
1950-11-01,1950,11.0,,,,29.1,,,,,,
1950-12-01,1950,12.0,,,,29.6,,,,,,
1951-01-01,1951,1.0,,,,30.1,,,,,,
1951-02-01,1951,2.0,,,,30.2,,,,,,
1951-03-01,1951,3.0,,,,30.2,,,,,,
1951-04-01,1951,4.0,,,,30.2,,,,,,
1951-05-01,1951,5.0,,,,30.2,,,,,,
1951-06-01,1951,6.0,,,,30.0,,,,,,
1951-07-01,1951,7.0,,,,29.9,,,,,,
1951-08-01,1951,8.0,,,,29.7,,,,,,
1951-09-01,1951,9.0,,,,29.7,,,,,,
1951-10-01,1951,10.0,,,,29.7,,,,,,
1951-11-01,1951,11.0,,,,29.6,,,,,,
1951-12-01,1951,12.0,,,,29.5,,,,,,
1952-01-01,1952,1.0,,,,29.5,,,,,,
1952-02-01,1952,2.0,,,,29.5,,,,,,
1952-03-01,1952,3.0,,,,29.5,,,,,,
1952-04-01,1952,4.0,,,,29.6,,,,,,
1952-05-01,1952,5.0,,,,29.5,,,,,,
1952-06-01,1952,6.0,,,,29.5,,,,,,
1952-07-01,1952,7.0,,,,29.5,,,,,,
1952-08-01,1952,8.0,,,,29.7,,,,,,
1952-09-01,1952,9.0,,,,29.7,,,,,,
1952-10-01,1952,10.0,,,,29.7,,,,,,
1952-11-01,1952,11.0,,,,29.6,,,,,,
1952-12-01,1952,12.0,,,,29.6,,,,,,
1953-01-01,1953,1.0,,,,29.6,,,,,,
1953-02-01,1953,2.0,,,,29.7,,,,,,
1953-03-01,1953,3.0,,,,29.8,,,,,,
1953-04-01,1953,4.0,,,,30.0,,,,,,
1953-05-01,1953,5.0,,,,30.1,,,,,,
1953-06-01,1953,6.0,,,,30.1,,,,,,
1953-07-01,1953,7.0,,,,30.4,,,,,,
1953-08-01,1953,8.0,,,,30.2,,,,,,
1953-09-01,1953,9.0,,,,30.1,,,,,,
1953-10-01,1953,10.0,,,,30.0,,,,,,
1953-11-01,1953,11.0,,,,29.9,,,,,,
1953-12-01,1953,12.0,,,,29.9,,,,,,
1954-01-01,1954,1.0,,,,29.9,,,,,,
1954-02-01,1954,2.0,,,,29.8,,,,,,
1954-03-01,1954,3.0,,,,29.8,,,,,,
1954-04-01,1954,4.0,,,,29.6,,,,,,
1954-05-01,1954,5.0,,,,29.7,,,,,,
1954-06-01,1954,6.0,,,,29.6,,,,,,
1954-07-01,1954,7.0,,,,30.1,,,,,,
1954-08-01,1954,8.0,,,,30.2,,,,,,
1954-09-01,1954,9.0,,,,30.4,,,,,,
1954-10-01,1954,10.0,,,,30.4,,,,,,
1954-11-01,1954,11.0,,,,30.5,,,,,,
1954-12-01,1954,12.0,,,,30.5,,,,,,
1955-01-01,1955,1.0,,,,30.5,,,,,,
1955-02-01,1955,2.0,,,,30.7,,,,,,
1955-03-01,1955,3.0,,,,30.7,,,,,,
1955-04-01,1955,4.0,,,,30.9,,,,,,
1955-05-01,1955,5.0,,,,31.0,,,,,,
1955-06-01,1955,6.0,,,,31.0,,,,,,
1955-07-01,1955,7.0,,,,31.5,,,,,,
1955-08-01,1955,8.0,,,,31.9,,,,,,
1955-09-01,1955,9.0,,,,32.1,,,,,,
1955-10-01,1955,10.0,,,,32.2,,,,,,
1955-11-01,1955,11.0,,,,32.0,,,,,,
1955-12-01,1955,12.0,,,,32.1,,,,,,
1956-01-01,1956,1.0,,,,32.4,,,,,,
1956-02-01,1956,2.0,,,,32.4,,,,,,
1956-03-01,1956,3.0,,,,32.6,,,,,,
1956-04-01,1956,4.0,,,,32.8,,,,,,
1956-05-01,1956,5.0,,,,32.7,,,,,,
1956-06-01,1956,6.0,,,,32.7,,,,,,
1956-07-01,1956,7.0,,,,32.7,,,,,,
1956-08-01,1956,8.0,,,,32.9,,,,,,
1956-09-01,1956,9.0,,,,32.8,,,,,,
1956-10-01,1956,10.0,,,,32.8,,,,,,
1956-11-01,1956,11.0,,,,32.7,,,,,,
1956-12-01,1956,12.0,,,,32.6,,,,,,
1957-01-01,1957,1.0,,,,32.6,,,,,,
1957-02-01,1957,2.0,,,,32.6,,,,,,
1957-03-01,1957,3.0,,,,32.6,,,,,,
1957-04-01,1957,4.0,,,,32.7,,,,,,
1957-05-01,1957,5.0,,,,32.7,,,,,,
1957-06-01,1957,6.0,,,,32.7,,,,,,
1957-07-01,1957,7.0,,,,32.9,,,,,,
1957-08-01,1957,8.0,,,,32.8,,,,,,
1957-09-01,1957,9.0,,,,32.7,,,,,,
1957-10-01,1957,10.0,,,,32.6,,,,,,
1957-11-01,1957,11.0,,,,32.5,,,,,,
1957-12-01,1957,12.0,,,,32.5,,,,,,
1958-01-01,1958,1.0,,,,32.6,,,,,,
1958-02-01,1958,2.0,,,,32.5,,,,,,
1958-03-01,1958,3.0,,,,32.4,,,,,,
1958-04-01,1958,4.0,,,,32.3,,,,,,
1958-05-01,1958,5.0,,,,32.3,,,,,,
1958-06-01,1958,6.0,,,,32.4,,,,,,
1958-07-01,1958,7.0,,,,32.4,,,,,,
1958-08-01,1958,8.0,,,,32.7,,,,,,
1958-09-01,1958,9.0,,,,33.0,,,,,,
1958-10-01,1958,10.0,,,,33.0,,,,,,
1958-11-01,1958,11.0,,,,33.0,,,,,,
1958-12-01,1958,12.0,,,,33.0,,,,,,
1959-01-01,1959,1.0,,,,33.1,,,,,,
1959-02-01,1959,2.0,,,,33.3,,,,,,
1959-03-01,1959,3.0,,,,33.4,,,,,,
1959-04-01,1959,4.0,,,,33.7,,,,,,
1959-05-01,1959,5.0,,,,34.0,,,,,,
1959-06-01,1959,6.0,,,,34.0,,,,,,
1959-07-01,1959,7.0,,,,33.8,,,,,,
1959-08-01,1959,8.0,,,,33.8,,,,,,
1959-09-01,1959,9.0,,,,33.7,,,,,,
1959-10-01,1959,10.0,,,,33.7,,,,,,
1959-11-01,1959,11.0,,,,33.7,,,,,,
1959-12-01,1959,12.0,,,,33.7,,,,,,
1960-01-01,1960,1.0,,,,33.8,,,,,,
1960-02-01,1960,2.0,,,,33.7,,,,,,
1960-03-01,1960,3.0,,,,33.7,,,,,,
1960-04-01,1960,4.0,,,,33.6,,,,,,
1960-05-01,1960,5.0,,,,33.5,,,,,,
1960-06-01,1960,6.0,,,,33.2,,,,,,
1960-07-01,1960,7.0,,,,33.0,,,,,,
1960-08-01,1960,8.0,,,,32.9,,,,,,
1960-09-01,1960,9.0,,,,32.8,,,,,,
1960-10-01,1960,10.0,,,,32.6,,,,,,
1960-11-01,1960,11.0,,,,32.6,,,,,,
1960-12-01,1960,12.0,,,,32.5,,,,,,
1961-01-01,1961,1.0,,,,32.5,,,,,,
1961-02-01,1961,2.0,,,,32.5,,,,,,
1961-03-01,1961,3.0,,,,32.5,,,,,,
1961-04-01,1961,4.0,,,,32.7,,,,,,
1961-05-01,1961,5.0,,,,32.7,,,,,,
1961-06-01,1961,6.0,,,,32.6,,,,,,
1961-07-01,1961,7.0,,,,32.6,,,,,,
1961-08-01,1961,8.0,,,,32.5,,,,,,
1961-09-01,1961,9.0,,,,32.5,,,,,,
1961-10-01,1961,10.0,,,,32.4,,,,,,
1961-11-01,1961,11.0,,,,32.4,,,,,,
1961-12-01,1961,12.0,,,,32.4,,,,,,
1962-01-01,1962,1.0,,,,32.4,,,,,,
1962-02-01,1962,2.0,,,,32.5,,,,,,
1962-03-01,1962,3.0,,,,32.6,,,,,,
1962-04-01,1962,4.0,,,,32.6,,,,,,
1962-05-01,1962,5.0,,,,32.6,,,,,,
1962-06-01,1962,6.0,,,,32.5,,,,,,
1962-07-01,1962,7.0,,,,32.5,,,,,,
1962-08-01,1962,8.0,,,,32.4,,,,,,
1962-09-01,1962,9.0,,,,32.4,,,,,,
1962-10-01,1962,10.0,,,,32.4,,,,,,
1962-11-01,1962,11.0,,,,32.3,,,,,,
1962-12-01,1962,12.0,,,,32.3,,,,,,
1963-01-01,1963,1.0,,,,32.3,,,,,,
1963-02-01,1963,2.0,,,,32.2,,,,,,
1963-03-01,1963,3.0,,,,32.3,,,,,,
1963-04-01,1963,4.0,,,,32.3,,,,,,
1963-05-01,1963,5.0,,,,32.4,,,,,,
1963-06-01,1963,6.0,,,,32.4,,,,,,
1963-07-01,1963,7.0,,,,32.8,,,,,,
1963-08-01,1963,8.0,,,,32.9,,,,,,
1963-09-01,1963,9.0,,,,32.7,,,,,,
1963-10-01,1963,10.0,,,,32.6,,,,,,
1963-11-01,1963,11.0,,,,32.6,,,,,,
1963-12-01,1963,12.0,,,,32.6,,,,,,
1964-01-01,1964,1.0,,,,32.6,,,,,,
1964-02-01,1964,2.0,,,,32.7,,,,,,
1964-03-01,1964,3.0,,,,32.8,,,,,,
1964-04-01,1964,4.0,,,,32.9,,,,,,
1964-05-01,1964,5.0,,,,32.9,,,,,,
1964-06-01,1964,6.0,,,,32.9,,,,,,
1964-07-01,1964,7.0,,,,32.9,,,,,,
1964-08-01,1964,8.0,,,,32.9,,,,,,
1964-09-01,1964,9.0,,,,32.9,,,,,,
1964-10-01,1964,10.0,,,,32.9,,,,,,
1964-11-01,1964,11.0,,,,32.9,,,,,,
1964-12-01,1964,12.0,,,,32.9,,,,,,
1965-01-01,1965,1.0,,,,33.0,,,,,,
1965-02-01,1965,2.0,,,,33.1,,,,,,
1965-03-01,1965,3.0,,,,33.0,,,,,,
1965-04-01,1965,4.0,,,,33.1,,,,,,
1965-05-01,1965,5.0,,,,33.2,,,,,,
1965-06-01,1965,6.0,,,,33.2,,,,,,
1965-07-01,1965,7.0,,,,33.3,,,,,,
1965-08-01,1965,8.0,,,,33.4,,,,,,
1965-09-01,1965,9.0,,,,33.4,,,,,,
1965-10-01,1965,10.0,,,,33.4,,,,,,
1965-11-01,1965,11.0,,,,33.4,,,,,,
1965-12-01,1965,12.0,,,,33.5,,,,,,
1966-01-01,1966,1.0,,,,33.6,,,,,,
1966-02-01,1966,2.0,,,,33.8,,,,,,
1966-03-01,1966,3.0,,,,34.1,,,,,,
1966-04-01,1966,4.0,,,,34.4,,,,,,
1966-05-01,1966,5.0,,,,34.7,,,,,,
1966-06-01,1966,6.0,,,,34.6,,,,,,
1966-07-01,1966,7.0,,,,34.5,,,,,,
1966-08-01,1966,8.0,,,,34.5,,,,,,
1966-09-01,1966,9.0,,,,34.4,,,,,,
1966-10-01,1966,10.0,,,,34.4,,,,,,
1966-11-01,1966,11.0,,,,34.3,,,,,,
1966-12-01,1966,12.0,,,,34.3,,,,,,
1967-01-01,1967,1.0,,,,34.4,,,,,,
1967-02-01,1967,2.0,,,,34.5,,,,,,
1967-03-01,1967,3.0,,,,34.5,,,,,,
1967-04-01,1967,4.0,,,,34.5,,,,,,
1967-05-01,1967,5.0,,,,34.4,,,,,,
1967-06-01,1967,6.0,,,,34.5,,,,,,
1967-07-01,1967,7.0,,,,34.6,,,,,,
1967-08-01,1967,8.0,,,,34.8,,,,,,
1967-09-01,1967,9.0,,,,35.1,,,,,,
1967-10-01,1967,10.0,,,,35.0,,,,,,
1967-11-01,1967,11.0,,,,35.0,,,,,,
1967-12-01,1967,12.0,,,,35.2,,,,,,
1968-01-01,1968,1.0,,,,35.5,,,,,,
1968-02-01,1968,2.0,,,,35.9,,,,,,
1968-03-01,1968,3.0,,,,36.2,,,,,,
1968-04-01,1968,4.0,,,,36.4,,,,,,
1968-05-01,1968,5.0,,,,36.4,,,,,,
1968-06-01,1968,6.0,,,,36.5,,,,,,
1968-07-01,1968,7.0,,,,36.6,,,,,,
1968-08-01,1968,8.0,,,,36.8,,,,,,
1968-09-01,1968,9.0,,,,37.0,,,,,,
1968-10-01,1968,10.0,,,,37.2,,,,,,
1968-11-01,1968,11.0,,,,37.5,,,,,,
1968-12-01,1968,12.0,,,,38.1,,,,,,
1969-01-01,1969,1.0,,,,38.7,,,,,,
1969-02-01,1969,2.0,,,,39.5,,,,,,
1969-03-01,1969,3.0,,,,40.1,,,,,,
1969-04-01,1969,4.0,,,,39.6,,,,,,
1969-05-01,1969,5.0,,,,39.2,,,,,,
1969-06-01,1969,6.0,,,,38.5,,,,,,
1969-07-01,1969,7.0,,,,37.6,,,,,,
1969-08-01,1969,8.0,,,,38.2,,,,,,
1969-09-01,1969,9.0,,,,38.2,,,,,,
1969-10-01,1969,10.0,,,,38.3,,,,,,
1969-11-01,1969,11.0,,,,38.5,,,,,,
1969-12-01,1969,12.0,,,,38.5,,,,,,
1970-01-01,1970,1.0,,,,38.7,,,,,,
1970-02-01,1970,2.0,,,,38.7,,,,,,
1970-03-01,1970,3.0,,,,38.8,,,,,,
1970-04-01,1970,4.0,,,,39.0,,,,,,
1970-05-01,1970,5.0,,,,39.1,,,,,,
1970-06-01,1970,6.0,,,,39.1,,,,,,
1970-07-01,1970,7.0,,,,39.2,,,,,,
1970-08-01,1970,8.0,,,,39.3,,,,,,
1970-09-01,1970,9.0,,,,39.2,,,,,,
1970-10-01,1970,10.0,,,,39.2,,,,,,
1970-11-01,1970,11.0,,,,39.1,,,,,,
1970-12-01,1970,12.0,,,,39.0,,,,,,
1971-01-01,1971,1.0,,,,39.4,,,,,,
1971-02-01,1971,2.0,,,,39.9,,,,,,
1971-03-01,1971,3.0,,,,40.7,,,,,,
1971-04-01,1971,4.0,,,,41.0,,,,,,
1971-05-01,1971,5.0,,,,41.1,,,,,,
1971-06-01,1971,6.0,,,,41.3,,,,,,
1971-07-01,1971,7.0,,,,42.0,,,,,,
1971-08-01,1971,8.0,,,,42.7,,,,,,
1971-09-01,1971,9.0,,,,42.7,,,,,,
1971-10-01,1971,10.0,,,,42.4,,,,,,
1971-11-01,1971,11.0,,,,42.4,,,,,,
1971-12-01,1971,12.0,,,,42.5,,,,,,
1972-01-01,1972,1.0,,,,42.8,,,,,,
1972-02-01,1972,2.0,,,,43.1,,,,,,
1972-03-01,1972,3.0,,,,43.4,,,,,,
1972-04-01,1972,4.0,,,,43.6,,,,,,
1972-05-01,1972,5.0,,,,43.8,,,,,,
1972-06-01,1972,6.0,,,,44.0,,,,,,
1972-07-01,1972,7.0,,,,44.2,,,,,,
1972-08-01,1972,8.0,,,,44.4,,,,,,
1972-09-01,1972,9.0,,,,44.4,,,,,,
1972-10-01,1972,10.0,,,,44.5,,,,,,
1972-11-01,1972,11.0,,,,44.6,,,,,,
1972-12-01,1972,12.0,,,,44.6,,,,,,
1973-01-01,1973,1.0,,,,44.9,,,,,,
1973-02-01,1973,2.0,,,,45.9,,,,,,
1973-03-01,1973,3.0,,,,47.3,,,,,,
1973-04-01,1973,4.0,,,,48.3,,,,,,
1973-05-01,1973,5.0,,,,48.9,,,,,,
1973-06-01,1973,6.0,,,,48.6,,,,,,
1973-07-01,1973,7.0,,,,48.1,,,,,,
1973-08-01,1973,8.0,,,,48.2,,,,,,
1973-09-01,1973,9.0,,,,48.6,,,,,,
1973-10-01,1973,10.0,,,,48.7,,,,,,
1973-11-01,1973,11.0,,,,49.4,,,,,,
1973-12-01,1973,12.0,,,,49.8,,,,,,
1974-01-01,1974,1.0,,,,50.6,,,,,,
1974-02-01,1974,2.0,,,,51.0,,,,,,
1974-03-01,1974,3.0,,,,52.7,,,,,,
